userId,1,2,3,4
4279,"{'22', '1'}","{'22', '19', '1'}","{'22', '19', '1'}",{'1'}
4280,"{'4', '1', '6'}",,{'5'},
4281,"{'19', '13'}","{'4', '5', '14'}",,{'15'}
4282,"{'19', '1'}","{'22', '15', '19', '5'}",{'19'},"{'19', '1', '5'}"
4283,"{'19', '1'}",{'19'},"{'4', '19'}","{'19', '1', '14'}"
4284,{'6'},,{'6'},{'5'}
4285,{'19'},{'19'},"{'19', '1', '13'}",{'19'}
4286,"{'22', '15', '4'}",{'22'},"{'22', '19', '5'}","{'22', '19'}"
4287,{'5'},,,
4288,"{'1', '5'}","{'1', '5'}","{'1', '5'}",{'5'}
4289,"{'19', '6', '1', '5'}","{'19', '1'}","{'22', '15', '19', '1'}","{'19', '15', '5'}"
4290,"{'22', '16'}",{'22'},{'6'},"{'22', '1', '5'}"
4291,"{'22', '19'}","{'22', '19', '1'}","{'22', '19', '13'}","{'5', '22', '6', '21'}"
4292,{'4'},,,"{'4', '1', '5'}"
4293,"{'4', '1'}",{'1'},"{'22', '4', '1'}",
4294,{'5'},,{'5'},
4295,,,,"{'1', '5'}"
4296,"{'3', '1'}",{'1'},"{'22', '4', '1'}","{'22', '15', '19'}"
4297,"{'19', '15', '1', '5', '4'}","{'4', '15', '19'}","{'15', '19'}","{'19', '16', '22', '15', '1', '4'}"
4298,"{'19', '15', '5', '13', '4'}","{'19', '3'}","{'19', '4'}","{'19', '15', '4'}"
4299,{'4'},,,
4300,"{'19', '5'}","{'22', '19', '5'}","{'22', '19'}","{'22', '19', '1', '5'}"
4301,{'6'},,,{'19'}
4302,{'15'},{'1'},{'1'},{'1'}
